,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
219,BMD_RS00605,NODE_13_length_58972_cov_159.635436_54,91.018,167,15,0,1,167,1,167,1.08e-107,301.0,167,1.0,<=>
220,BMD_RS00610,NODE_13_length_58972_cov_159.635436_53,100.0,121,0,0,1,121,1,121,2.11e-77,221.0,121,1.0,<=>
221,BMD_RS00615,NODE_13_length_58972_cov_159.635436_52,74.627,201,51,0,1,201,1,201,7.63e-105,297.0,201,1.0,<=>
223,BMD_RS00620,NODE_13_length_58972_cov_159.635436_51,97.309,1189,31,1,1,1188,1,1189,0.0,2360.0,1188,1.0008417508417509,<=>
224,BMD_RS00625,NODE_13_length_58972_cov_159.635436_50,97.746,1198,27,0,1,1198,1,1198,0.0,2412.0,1198,1.0,<=>
225,BMD_RS00630,NODE_13_length_58972_cov_159.635436_49,73.494,83,22,0,1,83,1,83,8.52e-40,123.0,83,1.0,<=>
226,BMD_RS00635,NODE_13_length_58972_cov_159.635436_48,97.163,141,4,0,1,141,1,141,1.37e-98,276.0,141,1.0,<=>
227,BMD_RS00640,NODE_13_length_58972_cov_159.635436_47,100.0,157,0,0,1,157,1,157,3.3099999999999997e-115,319.0,157,1.0,<=>
228,BMD_RS00645,NODE_13_length_58972_cov_159.635436_46,93.795,693,43,0,1,693,1,693,0.0,1347.0,693,1.0,<=>
237,BMD_RS00650,NODE_13_length_58972_cov_159.635436_45,96.725,397,13,0,1,397,1,397,0.0,786.0,397,1.0,<=>
243,BMD_RS00655,NODE_13_length_58972_cov_159.635436_44,98.058,103,2,0,1,103,1,103,2.92e-71,204.0,103,1.0,<=>
244,BMD_RS00660,NODE_13_length_58972_cov_159.635436_43,96.19,210,8,0,1,210,1,210,6.11e-148,407.0,210,1.0,<=>
245,BMD_RS00665,NODE_13_length_58972_cov_159.635436_42,96.154,208,8,0,1,208,1,208,2.02e-146,402.0,208,1.0,<=>
246,BMD_RS00670,NODE_13_length_58972_cov_159.635436_41,94.792,96,5,0,1,96,1,96,3.67e-63,183.0,96,1.0,<=>
247,BMD_RS00675,NODE_13_length_58972_cov_159.635436_40,96.751,277,9,0,1,277,1,277,0.0,544.0,277,1.0,<=>
248,BMD_RS00680,NODE_13_length_58972_cov_159.635436_39,97.849,93,2,0,1,93,1,93,4.3e-65,187.0,93,1.0,<=>
249,BMD_RS00685,NODE_13_length_58972_cov_159.635436_38,93.86,114,7,0,1,114,1,114,6.909999999999999e-76,217.0,114,1.0,<=>
250,BMD_RS00690,NODE_13_length_58972_cov_159.635436_37,97.717,219,5,0,1,219,1,219,2.56e-159,436.0,219,1.0,<=>
251,BMD_RS00695,NODE_13_length_58972_cov_159.635436_36,97.931,145,3,0,1,145,1,145,5.61e-102,285.0,145,1.0,<=>
252,BMD_RS00700,NODE_13_length_58972_cov_159.635436_35,98.507,67,1,0,1,67,1,67,1.81e-41,126.0,67,1.0,<=>
253,BMD_RS00705,NODE_13_length_58972_cov_159.635436_34,96.591,88,3,0,1,88,1,88,1.5900000000000001e-58,171.0,88,1.0,<=>
254,BMD_RS00710,NODE_13_length_58972_cov_159.635436_33,96.748,123,4,0,1,123,1,123,2.7e-82,233.0,123,1.0,<=>
255,BMD_RS00715,NODE_13_length_58972_cov_159.635436_32,98.077,104,2,0,1,104,1,104,2.33e-68,197.0,104,1.0,<=>
256,BMD_RS00720,NODE_13_length_58972_cov_159.635436_31,97.222,180,5,0,1,180,1,180,2.49e-128,355.0,180,1.0,<=>
257,BMD_RS00725,NODE_13_length_58972_cov_159.635436_30,98.387,62,1,0,1,62,1,62,2.25e-40,123.0,62,1.0,<=>
259,BMD_RS00730,NODE_13_length_58972_cov_159.635436_29,98.496,133,2,0,1,133,1,133,8.29e-94,263.0,133,1.0,<=>
260,BMD_RS00735,NODE_13_length_58972_cov_159.635436_28,96.667,180,6,0,1,180,1,180,8.180000000000001e-124,343.0,180,1.0,<=>
261,BMD_RS00740,NODE_13_length_58972_cov_159.635436_27,93.388,121,8,0,1,121,1,121,1.8400000000000002e-79,226.0,121,1.0,<=>
263,BMD_RS00745,NODE_13_length_58972_cov_159.635436_26,98.204,167,3,0,1,167,1,167,2.18e-115,321.0,167,1.0,<=>
264,BMD_RS00750,NODE_13_length_58972_cov_159.635436_25,98.361,61,1,0,1,61,1,61,6.63e-39,119.0,61,1.0,<=>
265,BMD_RS00755,NODE_13_length_58972_cov_159.635436_24,94.558,147,8,0,1,147,1,147,1.46e-97,274.0,147,1.0,<=>
266,BMD_RS00760,NODE_13_length_58972_cov_159.635436_23,95.128,431,21,0,1,431,1,431,0.0,817.0,431,1.0,<=>
267,BMD_RS00765,NODE_13_length_58972_cov_159.635436_22,91.743,218,18,0,1,218,1,218,1.63e-151,416.0,218,1.0,<=>
268,BMD_RS00770,NODE_13_length_58972_cov_159.635436_21,89.558,249,26,0,1,249,1,249,4.62e-171,468.0,249,1.0,<=>
273,BMD_RS00775,NODE_13_length_58972_cov_159.635436_20,98.63,73,1,0,1,73,1,73,2.5e-49,146.0,73,1.0,<=>
274,BMD_RS00785,NODE_13_length_58972_cov_159.635436_19,99.18,122,1,0,1,122,1,122,1.38e-83,237.0,122,1.0,<=>
275,BMD_RS00790,NODE_13_length_58972_cov_159.635436_18,99.231,130,1,0,1,130,1,130,2.22e-92,259.0,130,1.0,<=>
276,BMD_RS00795,NODE_13_length_58972_cov_159.635436_17,99.683,315,1,0,1,315,1,315,0.0,632.0,315,1.0,<=>
277,BMD_RS00800,NODE_13_length_58972_cov_159.635436_16,95.868,121,5,0,1,121,1,121,9.28e-82,232.0,121,1.0,<=>
278,BMD_RS00805,NODE_13_length_58972_cov_159.635436_15,81.884,276,50,0,2,277,5,280,7.2e-175,480.0,277,0.9963898916967509,<=>
355,BMD_RS00810,NODE_13_length_58972_cov_159.635436_14,77.431,288,65,0,1,288,1,288,3.73e-171,472.0,290,0.993103448275862,<=>
433,BMD_RS00815,NODE_13_length_58972_cov_159.635436_13,80.377,265,52,0,2,266,1,265,2.02e-133,374.0,266,0.9962406015037594,<=>
434,BMD_RS00820,NODE_13_length_58972_cov_159.635436_12,75.709,247,60,0,1,247,1,247,1.35e-143,399.0,247,1.0,<=>
435,BMD_RS00825,NODE_13_length_58972_cov_159.635436_11,96.575,146,5,0,1,146,1,146,7.669999999999999e-104,290.0,146,1.0,<=>
436,BMD_RS00830,NODE_13_length_58972_cov_159.635436_10,96.947,131,4,0,1,131,1,131,2.76e-88,249.0,131,1.0,<=>
437,BMD_RS00835,NODE_158_length_5585_cov_154.744553_2,53.521,142,63,1,4,142,3,144,4.24e-49,151.0,142,1.0,<=>
438,BMD_RS00840,NODE_158_length_5585_cov_154.744553_3,75.0,236,59,0,1,236,1,236,2.06e-120,339.0,236,1.0,<=>
444,BMD_RS00845,NODE_158_length_5585_cov_154.744553_4,84.857,350,53,0,1,350,1,350,0.0,578.0,358,0.9776536312849162,<=>
450,BMD_RS00850,NODE_41_length_28144_cov_287.375387_14,28.763,299,200,6,1,287,1,298,4.41e-33,120.0,303,0.9867986798679867,->
459,BMD_RS00855,NODE_158_length_5585_cov_154.744553_5,72.857,210,55,1,1,208,1,210,1.71e-112,317.0,210,1.0,<=>
460,BMD_RS00860,NODE_158_length_5585_cov_154.744553_6,70.388,206,61,0,1,206,1,206,5.84e-111,313.0,207,0.9951690821256038,<=>
461,BMD_RS00865,NODE_158_length_5585_cov_154.744553_7,78.431,255,55,0,1,255,1,255,2.12e-155,429.0,255,1.0,<=>
467,BMD_RS00925,NODE_89_length_15598_cov_156.023645_1,86.333,300,41,0,1,300,1,300,0.0,520.0,300,1.0,<=>
470,BMD_RS25715,NODE_89_length_15598_cov_156.023645_2,53.333,45,21,0,5,49,2,46,1.51e-09,44.7,54,0.8333333333333334,<=>
471,BMD_RS00930,NODE_89_length_15598_cov_156.023645_3,92.529,174,13,0,15,188,15,188,3.82e-120,335.0,188,0.925531914893617,<=>
475,BMD_RS00935,NODE_89_length_15598_cov_156.023645_4,73.134,201,54,0,1,201,1,201,2.9e-117,328.0,202,0.995049504950495,<=>
476,BMD_RS00940,NODE_89_length_15598_cov_156.023645_5,89.051,274,30,0,1,274,1,274,0.0,496.0,274,1.0,<=>
478,BMD_RS00945,NODE_89_length_15598_cov_156.023645_6,52.248,467,209,5,1,455,1,465,7.29e-147,427.0,521,0.8963531669865643,<=>
479,BMD_RS00950,NODE_89_length_15598_cov_156.023645_7,91.537,449,38,0,1,449,1,449,0.0,842.0,449,1.0,<=>
481,BMD_RS00955,NODE_89_length_15598_cov_156.023645_8,92.845,601,43,0,1,601,1,601,0.0,1154.0,601,1.0,<=>
484,BMD_RS00960,NODE_17_length_52560_cov_173.736505_3,89.451,237,25,0,1,237,1,237,2.8299999999999997e-159,437.0,239,0.9916317991631799,<=>
485,BMD_RS00965,NODE_37_length_30247_cov_147.301856_9,32.616,279,166,9,35,294,29,304,9.13e-29,116.0,440,0.634090909090909,->
490,BMD_RS00970,NODE_54_length_23584_cov_154.105203_22,84.897,629,92,2,1,628,1,627,0.0,1085.0,631,0.9968304278922345,<=>
493,BMD_RS00975,NODE_54_length_23584_cov_154.105203_21,64.368,696,245,3,3,697,1,694,0.0,906.0,697,0.9985652797704447,<=>
495,BMD_RS00980,NODE_54_length_23584_cov_154.105203_20,72.178,381,106,0,1,381,1,381,0.0,544.0,381,1.0,<=>
497,BMD_RS00985,NODE_169_length_4739_cov_129.598456_4,39.241,158,91,3,3,158,8,162,2.78e-37,123.0,162,0.9753086419753086,<=>
500,BMD_RS00990,NODE_94_length_14807_cov_126.816633_5,63.768,138,50,0,37,174,39,176,1.65e-58,185.0,178,0.7752808988764045,->
503,BMD_RS01000,NODE_7_length_77487_cov_135.428446_1,25.822,213,137,8,370,576,296,493,1.2e-10,61.2,690,0.30869565217391304,->
505,BMD_RS01005,NODE_54_length_23584_cov_154.105203_16,82.873,181,31,0,1,181,1,181,2.62e-112,314.0,181,1.0,<=>
511,BMD_RS01010,NODE_54_length_23584_cov_154.105203_15,84.595,370,57,0,1,370,1,370,0.0,652.0,370,1.0,<=>
591,BMD_RS01015,NODE_54_length_23584_cov_154.105203_14,88.39,267,31,0,1,267,6,272,8.750000000000001e-169,464.0,267,1.0,<=>
594,BMD_RS01020,NODE_54_length_23584_cov_154.105203_13,85.874,269,37,1,1,269,1,268,1.7100000000000002e-166,458.0,269,1.0,<=>
604,BMD_RS01025,NODE_54_length_23584_cov_154.105203_12,82.682,358,62,0,1,358,1,358,0.0,630.0,358,1.0,<=>
605,BMD_RS01030,NODE_54_length_23584_cov_154.105203_11,68.698,361,113,0,5,365,2,362,0.0,520.0,371,0.9730458221024259,<=>
606,BMD_RS01035,NODE_48_length_25400_cov_144.904316_17,43.243,222,123,1,2,220,5,226,2.02e-62,191.0,226,0.9823008849557522,->
643,BMD_RS01040,NODE_18_length_52237_cov_130.949827_13,39.367,221,131,1,193,410,369,589,1.3500000000000002e-43,157.0,412,0.5364077669902912,->
670,BMD_RS01060,NODE_54_length_23584_cov_154.105203_10,83.425,362,59,1,1,361,1,362,0.0,625.0,361,1.002770083102493,<=>
674,BMD_RS01065,NODE_54_length_23584_cov_154.105203_9,72.052,458,127,1,1,458,1,457,0.0,674.0,461,0.9934924078091106,<=>
679,BMD_RS01070,NODE_54_length_23584_cov_154.105203_8,89.526,506,48,3,1,504,1,503,0.0,859.0,504,1.003968253968254,<=>
689,BMD_RS01075,NODE_54_length_23584_cov_154.105203_7,73.602,322,85,0,1,322,1,322,0.0,518.0,324,0.9938271604938271,<=>
691,BMD_RS01080,NODE_54_length_23584_cov_154.105203_6,54.359,195,88,1,1,195,4,197,2.22e-71,212.0,201,0.9701492537313433,<=>
693,BMD_RS01085,NODE_54_length_23584_cov_154.105203_5,65.854,123,41,1,1,122,1,123,5.41e-56,167.0,122,1.0081967213114753,<=>
694,BMD_RS01090,NODE_54_length_23584_cov_154.105203_4,79.941,339,64,2,19,353,1,339,0.0,527.0,353,0.9603399433427762,<=>
695,BMD_RS01095,NODE_54_length_23584_cov_154.105203_3,60.982,387,151,0,10,396,1,387,0.0,530.0,397,0.9748110831234257,<=>
696,BMD_RS01100,NODE_54_length_23584_cov_154.105203_2,95.745,94,4,0,1,94,1,94,1.29e-62,181.0,94,1.0,<=>
697,BMD_RS01105,NODE_54_length_23584_cov_154.105203_1,97.436,117,3,0,1,117,1,117,3.55e-80,228.0,117,1.0,<=>
699,BMD_RS01110,NODE_125_length_9288_cov_160.134622_1,80.714,280,52,2,1,279,1,279,5.57e-168,463.0,279,1.003584229390681,<=>
702,BMD_RS01115,NODE_125_length_9288_cov_160.134622_2,95.798,119,5,0,1,119,1,119,2.17e-77,221.0,119,1.0,<=>
704,BMD_RS01120,NODE_125_length_9288_cov_160.134622_3,90.299,134,13,0,1,134,1,134,4.15e-88,249.0,134,1.0,<=>
706,BMD_RS01125,NODE_125_length_9288_cov_160.134622_4,87.349,332,41,1,1,331,7,338,0.0,602.0,331,1.0030211480362539,<=>
709,BMD_RS01130,NODE_125_length_9288_cov_160.134622_5,84.685,111,17,0,1,111,1,111,5.5700000000000004e-64,186.0,111,1.0,<=>
711,BMD_RS01135,NODE_125_length_9288_cov_160.134622_6,92.593,162,12,0,1,162,1,162,2.02e-111,310.0,162,1.0,<=>
714,BMD_RS01140,NODE_125_length_9288_cov_160.134622_7,92.366,262,20,0,1,262,1,262,0.0,498.0,265,0.9886792452830189,<=>
723,BMD_RS01145,NODE_125_length_9288_cov_160.134622_8,58.586,198,82,0,3,200,5,202,4.55e-92,265.0,202,0.9801980198019802,<=>
724,BMD_RS01150,NODE_125_length_9288_cov_160.134622_9,73.596,712,188,0,11,722,12,723,0.0,1044.0,725,0.9820689655172414,<=>
731,BMD_RS01155,NODE_125_length_9288_cov_160.134622_10,60.265,151,58,1,1,149,1,151,5.1800000000000005e-65,192.0,150,1.0066666666666666,<=>
732,BMD_RS01240,NODE_148_length_6948_cov_154.031000_8,76.623,154,36,0,1,154,1,154,3.29e-88,251.0,157,0.9808917197452229,<=>
