,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
168,BSU_00740,NODE_33_length_33420_cov_158.845455_21,56.438,466,201,1,1,466,1,464,0.0,549.0,471,0.9893842887473461,<=>
171,BSU_00750,NODE_33_length_33420_cov_158.845455_22,79.058,191,40,0,1,191,1,191,3.7e-116,325.0,195,0.9794871794871794,<=>
175,BSU_00760,NODE_33_length_33420_cov_158.845455_23,46.154,286,152,1,2,287,3,286,1.5699999999999999e-90,268.0,294,0.9727891156462585,<=>
177,BSU_00770,NODE_33_length_33420_cov_158.845455_24,60.573,279,110,0,8,286,7,285,1.82e-126,358.0,286,0.9755244755244755,<=>
178,BSU_00780,NODE_33_length_33420_cov_158.845455_25,73.109,119,32,0,1,119,1,119,1.71e-63,186.0,121,0.9834710743801653,<=>
179,BSU_00790,NODE_33_length_33420_cov_158.845455_26,58.824,136,56,0,1,136,1,136,1.59e-54,167.0,168,0.8095238095238095,<=>
180,BSU_00800,NODE_43_length_27133_cov_138.254509_29,29.032,62,44,0,7,68,9,70,0.000844,32.3,70,0.8857142857142857,->
181,BSU_00810,NODE_23_length_46620_cov_141.339535_37,26.606,327,212,9,13,326,14,325,3.32e-23,95.1,334,0.9790419161676647,->
184,BSU_00820,NODE_33_length_33420_cov_158.845455_27,81.984,494,89,0,7,500,2,495,0.0,859.0,500,0.988,<=>
188,BSU_00830,NODE_13_length_58972_cov_159.635436_75,63.158,152,56,0,4,155,3,154,4.01e-68,200.0,155,0.9806451612903225,<=>
189,BSU_00840,NODE_13_length_58972_cov_159.635436_74,51.099,182,85,1,1,182,1,178,7.57e-63,189.0,186,0.978494623655914,<=>
190,BSU_00850,NODE_13_length_58972_cov_159.635436_73,69.477,344,105,0,6,349,5,348,1.56e-179,499.0,364,0.945054945054945,<=>
191,BSU_00860,NODE_13_length_58972_cov_159.635436_72,88.696,805,90,1,1,804,1,805,0.0,1437.0,811,0.9926017262638718,<=>
200,BSU_00870,NODE_13_length_58972_cov_159.635436_71,75.435,460,112,1,1,459,1,460,0.0,728.0,459,1.0021786492374727,<=>
202,BSU_00880,NODE_13_length_58972_cov_159.635436_70,64.655,348,123,0,14,361,12,359,8.1e-166,464.0,361,0.96398891966759,<=>
204,BSU_00890,NODE_13_length_58972_cov_159.635436_69,75.0,368,89,2,1,367,1,366,0.0,551.0,367,1.002724795640327,<=>
205,BSU_00900,NODE_13_length_58972_cov_159.635436_68,57.848,223,93,1,1,223,1,222,9.429999999999999e-94,271.0,233,0.9570815450643777,<=>
206,BSU_00910,NODE_13_length_58972_cov_159.635436_67,79.87,154,31,0,2,155,3,156,6.3e-93,263.0,159,0.9685534591194969,<=>
207,BSU_00920,NODE_13_length_58972_cov_159.635436_66,77.226,483,110,0,1,483,1,483,0.0,783.0,484,0.9979338842975206,<=>
208,BSU_00930,NODE_13_length_58972_cov_159.635436_65,79.048,210,43,1,3,212,2,210,4.17e-125,350.0,218,0.963302752293578,<=>
215,BSU_00940,NODE_13_length_58972_cov_159.635436_64,76.129,465,111,0,1,465,1,465,0.0,766.0,467,0.9957173447537473,<=>
218,BSU_00950,NODE_13_length_58972_cov_159.635436_63,57.252,131,56,0,9,139,7,137,4.76e-52,159.0,144,0.9097222222222222,<=>
219,BSU_00960,NODE_13_length_58972_cov_159.635436_62,71.774,248,70,0,3,250,2,249,4.25e-142,395.0,250,0.992,<=>
222,BSU_00970,NODE_13_length_58972_cov_159.635436_61,67.857,168,54,0,1,168,1,168,1.62e-85,246.0,171,0.9824561403508771,<=>
223,BSU_00980,NODE_13_length_58972_cov_159.635436_60,82.326,215,38,0,3,217,1,215,5.39e-125,349.0,219,0.9817351598173516,<=>
229,BSU_00990,NODE_13_length_58972_cov_159.635436_59,62.0,50,19,0,1,50,1,50,1.08e-18,67.8,50,1.0,<=>
231,BSU_01000,NODE_13_length_58972_cov_159.635436_58,71.429,56,16,0,2,57,3,58,2.23e-25,85.5,60,0.9333333333333333,<=>
232,BSU_01010,NODE_13_length_58972_cov_159.635436_57,82.584,178,31,0,1,178,1,178,1.88e-98,279.0,178,1.0,<=>
233,BSU_01020,NODE_13_length_58972_cov_159.635436_56,95.07,142,7,0,1,142,1,142,2.42e-97,273.0,142,1.0,<=>
234,BSU_01030,NODE_13_length_58972_cov_159.635436_55,86.522,230,31,0,1,230,1,230,5.92e-138,383.0,233,0.9871244635193133,<=>
235,BSU_01040,NODE_13_length_58972_cov_159.635436_54,79.042,167,35,0,1,167,1,167,9.87e-94,266.0,167,1.0,<=>
236,BSU_01050,NODE_13_length_58972_cov_159.635436_53,83.193,119,19,1,6,124,4,121,2.05e-35,115.0,124,0.9596774193548387,<=>
237,BSU_01060,NODE_13_length_58972_cov_159.635436_52,65.842,202,68,1,1,202,1,201,2.22e-89,258.0,202,1.0,<=>
240,BSU_01070,NODE_13_length_58972_cov_159.635436_51,89.615,1194,119,2,1,1194,1,1189,0.0,2207.0,1194,1.0,<=>
241,BSU_01080,NODE_13_length_58972_cov_159.635436_50,89.31,1188,127,0,1,1188,1,1188,0.0,2199.0,1200,0.99,<=>
242,BSU_01090,NODE_13_length_58972_cov_159.635436_49,65.432,81,28,0,1,81,1,81,1.09e-30,100.0,83,0.9759036144578314,<=>
243,BSU_01100,NODE_13_length_58972_cov_159.635436_48,92.701,137,10,0,1,137,1,137,1.18e-91,258.0,139,0.9856115107913669,<=>
244,BSU_01110,NODE_13_length_58972_cov_159.635436_47,91.083,157,14,0,1,157,1,157,1.51e-108,303.0,157,1.0,<=>
245,BSU_01120,NODE_13_length_58972_cov_159.635436_46,85.859,693,98,0,1,693,1,693,0.0,1233.0,693,1.0,<=>
255,BSU_01130,NODE_13_length_58972_cov_159.635436_45,92.443,397,30,0,1,397,1,397,0.0,723.0,397,1.0,<=>
261,BSU_01150,NODE_13_length_58972_cov_159.635436_44,97.087,103,3,0,1,103,1,103,8.11e-71,203.0,103,1.0,<=>
262,BSU_01160,NODE_13_length_58972_cov_159.635436_43,85.238,210,31,0,1,210,1,210,2.4100000000000002e-132,367.0,210,1.0,<=>
263,BSU_01170,NODE_13_length_58972_cov_159.635436_42,80.288,208,41,0,1,208,1,208,3.75e-123,344.0,208,1.0,<=>
264,BSU_01180,NODE_13_length_58972_cov_159.635436_41,81.25,96,18,0,1,96,1,96,5.33e-54,160.0,96,1.0,<=>
265,BSU_01190,NODE_13_length_58972_cov_159.635436_40,91.636,275,23,0,1,275,1,275,0.0,521.0,278,0.9892086330935251,<=>
266,BSU_01200,NODE_13_length_58972_cov_159.635436_39,92.473,93,7,0,1,93,1,93,1.22e-62,181.0,93,1.0,<=>
267,BSU_01210,NODE_13_length_58972_cov_159.635436_38,86.842,114,15,0,1,114,1,114,3.1e-71,205.0,114,1.0,<=>
268,BSU_01220,NODE_13_length_58972_cov_159.635436_37,90.411,219,21,0,1,219,1,219,1.2799999999999998e-150,414.0,219,1.0,<=>
269,BSU_01230,NODE_13_length_58972_cov_159.635436_36,95.862,145,6,0,1,145,1,145,4.94e-100,280.0,145,1.0,<=>
270,BSU_01240,NODE_13_length_58972_cov_159.635436_35,95.522,67,3,0,1,67,1,67,1.9e-40,124.0,67,1.0,<=>
271,BSU_01250,NODE_13_length_58972_cov_159.635436_34,93.182,88,6,0,1,88,1,88,4.77e-57,167.0,88,1.0,<=>
272,BSU_01260,NODE_13_length_58972_cov_159.635436_33,92.683,123,9,0,1,123,1,123,2.15e-80,229.0,123,1.0,<=>
273,BSU_01270,NODE_13_length_58972_cov_159.635436_32,86.538,104,14,0,1,104,1,104,1.36e-60,177.0,104,1.0,<=>
274,BSU_01280,NODE_13_length_58972_cov_159.635436_31,87.222,180,23,0,1,180,1,180,2.1700000000000003e-117,327.0,180,1.0,<=>
275,BSU_01290,NODE_13_length_58972_cov_159.635436_30,93.548,62,4,0,1,62,1,62,3.03e-38,117.0,62,1.0,<=>
277,BSU_01300,NODE_13_length_58972_cov_159.635436_29,87.218,133,17,0,1,133,1,133,4.36e-87,246.0,133,1.0,<=>
278,BSU_01310,NODE_13_length_58972_cov_159.635436_28,84.358,179,27,1,1,179,1,178,3.2e-108,304.0,180,0.9944444444444445,<=>
279,BSU_01320,NODE_13_length_58972_cov_159.635436_27,80.165,121,24,0,1,121,1,121,5.199999999999999e-69,200.0,121,1.0,<=>
280,BSU_01330,NODE_13_length_58972_cov_159.635436_26,91.018,167,15,0,1,167,1,167,1.54e-107,301.0,167,1.0,<=>
281,BSU_01340,NODE_13_length_58972_cov_159.635436_25,84.483,58,9,0,3,60,4,61,6.5000000000000005e-31,99.4,60,0.9666666666666667,<=>
282,BSU_01350,NODE_13_length_58972_cov_159.635436_24,81.633,147,27,0,1,147,1,147,7.36e-85,242.0,147,1.0,<=>
283,BSU_01360,NODE_13_length_58972_cov_159.635436_23,74.71,431,107,2,1,430,1,430,0.0,648.0,432,0.9976851851851852,<=>
284,BSU_01370,NODE_13_length_58972_cov_159.635436_22,75.688,218,53,0,1,218,1,218,1.9700000000000002e-122,343.0,218,1.0,<=>
285,BSU_01380,NODE_13_length_58972_cov_159.635436_21,81.928,249,45,0,1,249,1,249,5.91e-161,443.0,249,1.0,<=>
290,BSU_01390,NODE_13_length_58972_cov_159.635436_20,95.89,73,3,0,1,73,1,73,6.65e-49,145.0,73,1.0,<=>
291,BSU_01410,NODE_13_length_58972_cov_159.635436_19,92.623,122,9,0,1,122,1,122,1.33e-77,221.0,122,1.0,<=>
292,BSU_01420,NODE_13_length_58972_cov_159.635436_18,91.473,129,11,0,4,132,2,130,2.99e-77,221.0,132,0.9772727272727273,<=>
293,BSU_01430,NODE_13_length_58972_cov_159.635436_17,88.571,315,36,0,1,315,1,315,0.0,565.0,315,1.0,<=>
294,BSU_01440,NODE_13_length_58972_cov_159.635436_16,90.909,121,11,0,1,121,1,121,2.04e-78,224.0,121,1.0,<=>
295,BSU_01450,NODE_13_length_58972_cov_159.635436_15,64.13,276,98,1,7,282,6,280,1.12e-129,366.0,282,0.9787234042553191,<=>
375,BSU_01460,NODE_13_length_58972_cov_159.635436_14,61.455,275,105,1,1,274,14,288,8.32e-129,364.0,277,0.9927797833935018,<=>
453,BSU_01470,NODE_13_length_58972_cov_159.635436_13,67.17,265,87,0,2,266,1,265,9.37e-118,335.0,266,0.9962406015037594,<=>
454,BSU_01480,NODE_13_length_58972_cov_159.635436_12,58.704,247,100,1,2,248,3,247,2.49e-109,312.0,248,0.9959677419354839,<=>
455,BSU_01490,NODE_13_length_58972_cov_159.635436_11,86.301,146,20,0,1,146,1,146,2.4199999999999998e-92,261.0,146,1.0,<=>
456,BSU_01500,NODE_13_length_58972_cov_159.635436_10,85.496,131,19,0,1,131,1,131,1.0100000000000001e-70,205.0,131,1.0,<=>
457,BSU_01510,NODE_122_length_9644_cov_129.069719_8,28.713,101,70,2,59,158,43,142,0.000277,38.1,256,0.39453125,->
458,BSU_01520,NODE_158_length_5585_cov_154.744553_2,26.027,146,104,1,1,146,1,142,7.31e-16,67.0,148,0.9864864864864865,<=>
459,BSU_01530,NODE_158_length_5585_cov_154.744553_3,62.555,227,84,1,4,229,3,229,1.56e-88,258.0,238,0.9537815126050421,<=>
465,BSU_01540,NODE_158_length_5585_cov_154.744553_4,70.058,344,103,0,1,344,1,344,5.1899999999999995e-171,477.0,353,0.9745042492917847,<=>
471,BSU_01550,NODE_158_length_5585_cov_154.744553_5,51.366,183,85,2,5,183,3,185,2.22e-63,191.0,186,0.9838709677419355,<=>
472,BSU_01560,NODE_158_length_5585_cov_154.744553_6,56.566,198,86,0,1,198,1,198,4.16e-80,234.0,199,0.9949748743718593,<=>
473,BSU_01570,NODE_158_length_5585_cov_154.744553_7,55.294,255,114,0,1,255,1,255,2.24e-107,308.0,255,1.0,<=>
479,BSU_01580,NODE_65_length_20146_cov_124.136678_9,57.717,473,198,2,7,478,6,477,0.0,551.0,479,0.9874739039665971,<=>
484,BSU_01600,NODE_6_length_84183_cov_123.491630_67,27.778,90,54,3,6,84,14,103,9.16e-06,42.4,251,0.35856573705179284,<=>
486,BSU_01610,NODE_46_length_25559_cov_123.998587_14,37.7,313,189,3,19,330,28,335,9.589999999999999e-62,197.0,337,0.9287833827893175,->
492,BSU_01620,NODE_46_length_25559_cov_123.998587_13,38.511,309,185,2,23,329,27,332,2.18e-76,235.0,335,0.9223880597014925,->
500,BSU_01630,NODE_66_length_19950_cov_117.172848_15,27.157,313,201,14,1,298,1,301,3.6e-11,59.7,318,0.9842767295597484,->
508,BSU_01640,NODE_35_length_30699_cov_187.081706_33,21.875,192,141,4,322,506,112,301,7.6e-07,47.8,530,0.3622641509433962,->
510,BSU_01650,NODE_91_length_15369_cov_123.500850_12,57.933,416,173,1,1,414,1,416,1.1000000000000002e-173,489.0,415,1.002409638554217,<=>
511,BSU_01660,NODE_91_length_15369_cov_123.500850_11,61.682,642,244,2,1,642,1,640,0.0,839.0,643,0.9984447900466563,<=>
513,BSU_01670,NODE_64_length_20277_cov_123.248119_14,65.012,403,140,1,40,442,52,453,0.0,555.0,442,0.9117647058823529,<=>
516,BSU_01680,NODE_109_length_11822_cov_126.438995_12,73.832,428,110,1,1,428,1,426,0.0,630.0,456,0.9385964912280702,<=>
523,BSU_01690,NODE_109_length_11822_cov_126.438995_11,59.011,283,116,0,1,283,1,283,4.35e-123,350.0,284,0.9964788732394366,<=>
528,BSU_01700,NODE_109_length_11822_cov_126.438995_10,64.527,296,105,0,6,301,4,299,1.65e-138,390.0,305,0.9704918032786886,<=>
529,BSU_01720,NODE_56_length_22706_cov_117.971497_7,55.556,90,40,0,62,151,1,90,1.37e-31,105.0,152,0.5921052631578947,<=>
530,BSU_01730,NODE_89_length_15598_cov_156.023645_3,78.161,174,38,0,15,188,15,188,2.86e-98,279.0,188,0.925531914893617,<=>
534,BSU_01740,NODE_89_length_15598_cov_156.023645_4,50.239,209,101,1,1,209,1,206,2.67e-83,243.0,209,1.0,<=>
535,BSU_01750,NODE_89_length_15598_cov_156.023645_5,75.547,274,67,0,1,274,1,274,2.82e-153,426.0,274,1.0,<=>
537,BSU_01760,NODE_89_length_15598_cov_156.023645_6,34.238,479,286,6,1,453,1,476,1.89e-85,268.0,484,0.9896694214876033,<=>
538,BSU_01770,NODE_89_length_15598_cov_156.023645_7,82.628,449,78,0,1,449,1,449,0.0,766.0,449,1.0,<=>
540,BSU_01780,NODE_89_length_15598_cov_156.023645_8,76.705,601,140,0,1,601,1,601,0.0,960.0,601,1.0,<=>
545,BSU_01810,NODE_30_length_37530_cov_136.704616_28,35.955,89,57,0,111,199,196,284,2.17e-13,64.3,212,0.419811320754717,->
550,BSU_01820,NODE_11_length_62755_cov_125.058282_34,38.889,144,83,2,30,168,15,158,9.810000000000001e-27,96.7,180,0.8,->
551,BSU_01830,NODE_59_length_21307_cov_152.707772_13,26.849,365,223,9,26,351,14,373,1.8e-19,88.6,506,0.7213438735177866,->
552,BSU_01860,NODE_116_length_10391_cov_148.007078_13,25.974,154,103,3,6,154,30,177,4.8e-16,69.3,176,0.875,->
553,BSU_01889,NODE_23_length_46620_cov_141.339535_33,49.057,106,45,2,2,101,8,110,9.23e-33,107.0,101,1.0495049504950495,<=>
558,BSU_01890,NODE_93_length_15227_cov_99.800726_13,35.58,371,238,1,6,375,4,374,9.480000000000001e-64,206.0,391,0.948849104859335,->
563,BSU_01900,NODE_89_length_15598_cov_156.023645_8,44.211,95,34,3,22,105,515,601,2.38e-15,67.0,105,0.9047619047619048,->
639,BSU_01950,NODE_17_length_52560_cov_173.736505_45,37.975,79,45,2,128,203,824,901,1.91e-05,42.0,240,0.32916666666666666,->
643,BSU_01980,NODE_4_length_97076_cov_120.918257_100,24.528,106,75,3,32,134,85,188,9.65e-07,43.1,142,0.7464788732394366,->
645,BSU_01990,NODE_39_length_29834_cov_124.570656_21,29.508,183,123,3,85,264,1,180,7.89e-22,89.4,326,0.5613496932515337,<=>
662,BSU_02000,NODE_70_length_19252_cov_126.168136_2,33.884,121,71,5,4,119,6,122,1.79e-11,58.5,224,0.5401785714285714,->
679,BSU_02010,NODE_106_length_12173_cov_143.203704_8,23.904,251,124,10,92,299,209,435,2.87e-08,51.6,321,0.7819314641744548,->
683,BSU_02030,NODE_65_length_20146_cov_124.136678_16,36.585,246,147,2,12,248,2,247,5.48e-50,162.0,257,0.9571984435797666,<=>
686,BSU_02060,NODE_106_length_12173_cov_143.203704_5,43.488,453,252,1,1,453,1,449,1.9e-130,382.0,463,0.978401727861771,->
690,BSU_02120,NODE_140_length_7827_cov_122.359484_10,25.91,467,286,15,2,442,4,436,6.310000000000001e-21,92.0,540,0.8648148148148148,->
694,BSU_02130,NODE_167_length_4857_cov_121.938494_5,46.316,285,138,5,9,293,6,275,4.36e-83,249.0,294,0.9693877551020408,<=>
698,BSU_02140,NODE_50_length_24977_cov_129.268353_1,25.124,402,222,16,35,410,14,362,2.13e-13,68.2,445,0.903370786516854,->
702,BSU_02160,NODE_4_length_97076_cov_120.918257_39,30.38,79,53,1,34,110,39,117,1.16e-06,44.3,306,0.2581699346405229,->
708,BSU_02170,NODE_134_length_8294_cov_142.426676_5,24.104,307,198,12,63,345,75,370,2.16e-06,46.2,417,0.7362110311750599,->
711,BSU_02200,NODE_94_length_14807_cov_126.816633_5,30.317,221,120,9,84,278,204,416,1.35e-08,54.3,733,0.3015006821282401,->
